fileID,f1,f2,vot,notes
bi02_kaka,793.30,1574.03,21.55,
bi02_kaka1,793.60,1544.95,29.60,
bi02_kaka2,526.55,1489.58,26.71,
bi02_keke,473.19,2186.96,23.96,
bi02_keke1,463.09,2344.86,19.74,
bi02_keke2,515.20,2237.02,0.41,
bi02_kiki,335.23,2629.55,36.06,
bi02_kiki1,348.28,2681.40,26.13,
bi02_kiki2,338.12,2621.42,26.96,
bi02_koko,617.03,991.59,32.00,
bi02_koko1,591.67,962.36,32.96,
bi02_koko2,463.70,894.42,38.46,
bi02_kuku,471.74,903.69,43.48,
bi02_kuku1,467.79,914.34,32.94,
bi02_kuku2,299.20,763.95,27.52,
bi02_paka,816.94,1634.44,6.85,
bi02_paka1,728.30,1458.21,18.85,
bi02_paka2,687.46,1615.72,12.42,
bi02_peke,500.98,2264.88,22.42,
bi02_peke1,461.54,2349.54,20.53,
bi02_peke2,488.10,2344.74,16.44,
bi02_piki,357.87,1639.76,26.79,
bi02_piki1,289.09,2427.73,20.84,
bi02_piki2,572.90,2681.98,29.86,
bi02_poko,582.08,919.16,21.15,
bi02_poko1,584.30,951.23,19.92,
bi02_poko2,560.81,1054.90,21.39,
bi02_puku,506.90,897.91,29.44,
bi02_puku1,461.75,860.87,15.98,
bi02_puku2,432.52,808.62,25.48,
bi02_taka,814.63,1548.56,13.74,
bi02_taka1,751.02,1528.21,17.17,
bi02_taka2,503.55,1442.42,19.22,
bi02_teke,530.08,2216.71,13.42,
bi02_teke1,465.73,2334.47,19.85,
bi02_teke2,401.24,1516.55,13.93,
bi02_tiki,643.41,2277.45,21.69,
bi02_tiki1,345.94,2752.15,19.65,
bi02_tiki2,608.91,2211.76,25.53,
bi02_toko,505.23,919.97,11.01,
bi02_toko1,543.37,964.12,13.03,
bi02_toko2,603.96,1000.18,16.56,
bi02_tuku,472.73,962.50,19.99,
bi02_tuku1,467.07,929.20,16.05,
bi02_tuku2,519.85,833.03,19.79,
