fileID,f1,f2,vot,notes
ne03_kaka,770.42,1803.00,27.03,
ne03_kaka1,815.85,1737.43,25.44,
ne03_kaka2,882.82,1656.87,31.88,
ne03_keke,687.94,2637.73,26.18,
ne03_keke1,566.40,1749.11,29.82,
ne03_keke2,562.00,2547.78,32.45,
ne03_kiki,509.97,2714.88,33.47,
ne03_kiki1,401.15,2158.23,66.23,
ne03_kiki2,372.92,2810.92,53.59,
ne03_koko,507.19,1070.28,39.55,
ne03_koko1,556.76,1214.75,30.81,
ne03_koko2,570.59,1092.01,31.42,
ne03_kuku,516.12,991.68,39.03,
ne03_kuku1,464.95,1071.73,26.57,
ne03_kuku2,413.13,1060.30,33.55,
ne03_paka,841.04,1790.54,8.12,
ne03_paka1,725.57,1837.30,9.90,
ne03_paka2,731.69,1941.48,6.07,
ne03_peke,548.20,1502.00,6.66,
ne03_peke1,728.73,2485.13,26.57,
ne03_peke2,600.49,2290.92,8.54,
ne03_piki,363.86,2615.63,17.61,
ne03_piki1,379.52,1967.79,29.98,
ne03_piki2,392.12,2239.25,14.28,
ne03_poko,638.10,1121.61,5.95,
ne03_poko1,585.17,1183.71,30.16,
ne03_poko2,594.74,1101.79,28.74,
ne03_puku,825.77,1297.54,19.64,
ne03_puku1,428.63,971.71,43.50,
ne03_puku2,485.17,984.51,60.72,
ne03_taka,739.66,1834.87,14.64,
ne03_taka1,857.38,1750.11,19.78,
ne03_taka2,726.39,1405.64,12.05,
ne03_teke,577.16,1511.80,31.71,
ne03_teke1,575.33,1878.78,26.18,
ne03_teke2,564.86,1675.94,17.49,
ne03_tiki,387.65,2787.01,39.62,
ne03_tiki1,376.63,1570.68,70.08,
ne03_tiki2,412.79,1718.48,25.72,
ne03_toko,613.76,1098.71,25.44,
ne03_toko1,619.15,1193.41,30.11,
ne03_toko2,528.31,1043.78,18.33,
ne03_tuku,445.61,1096.95,30.49,
ne03_tuku1,428.53,1051.32,51.04,
ne03_tuku2,474.86,1125.31,35.00,
